scenario,exporter,baseline_import_value,baseline_tariff,new_tariff,tariff_change,simulated_import_value,import_change_pct,market_share
baseline,Argentina,1200000000,0.03,0.03,0.0,1200000000.0,0.0,2.272727272727273
baseline,US,12600000000,0.13,0.13,0.0,12600000000.0,0.0,23.863636363636363
baseline,Brazil,39000000000,0.03,0.03,0.0,39000000000.0,0.0,73.86363636363636
reciprocal_tariff,Argentina,1200000000,0.03,0.03,0.0,1200000000.0,0.0,2.201949351933345
reciprocal_tariff,US,12600000000,0.13,0.38,0.25,14297166292.51175,13.469573750093259,26.23469671023293
reciprocal_tariff,Brazil,39000000000,0.03,0.03,0.0,39000000000.0,0.0,71.56335393783372
full_retaliation,Argentina,1200000000,0.03,0.03,0.0,1200000000.0,0.0,2.1354466630320212
full_retaliation,US,12600000000,0.13,0.63,0.5,15994332585.0235,26.939147500186504,28.462536788427293
full_retaliation,Brazil,39000000000,0.03,0.03,0.0,39000000000.0,0.0,69.40201654854069
