scenario,exporter,baseline_import_value,baseline_tariff,new_tariff,tariff_change,simulated_import_quantity,simulated_import_value,import_change_pct,market_share,market_share_value
baseline,Argentina,2436000000.0,0.03,0.03,0.0,4450000.0,2509080000.0,-0.0,4.494949494949495,4.72630063260148
baseline,Brazil,33425000000.0,0.03,0.03,0.0,73260000.0,34427750000.0,-0.0,74.0,64.85082046170133
baseline,US,9747000000.0,0.657,0.657,0.0,21290000.0,16150779000.000002,-0.0,21.505050505050505,30.422878905697186
reciprocal_tariff,Argentina,2436000000.0,0.03,0.03,0.0,4450000.0,2509080000.0,-0.0,4.690835261402549,4.833056978957995
reciprocal_tariff,Brazil,33425000000.0,0.03,0.03,0.0,73260000.0,34427750000.0,-0.0,77.22485196637095,66.31565251300123
reciprocal_tariff,US,9747000000.0,0.657,0.907,0.25,17155834.164243482,14978138330.064186,-19.418345870157424,18.084312772226486,28.851290508040783
full_retaliation,Argentina,2436000000.0,0.03,0.03,0.0,4450000.0,2509080000.0,-0.0,4.904572000031037,5.038720542087147
full_retaliation,Brazil,33425000000.0,0.03,0.03,0.0,73260000.0,34427750000.0,-0.0,80.74358308365703,69.13761663352335
full_retaliation,US,9747000000.0,0.657,1.157,0.5,13021668.328486962,12859144574.146246,-38.836691740314876,14.351844916311935,25.823662824389487
